\nMather B,295,Eastchester,215
\nMoravian Academy,315,Hastings A,215
\nHigh Tech,385,Mather A,205
\nHastings B,370,Edison B,10
\nHigh Tech,405,Bronx Science,70
\nHastings A,265,Eastchester,255
\nMather A,345,Hastings B,130
\nHunter A,585,Edison B,5
\nMoravian Academy,295,Hunter B,110
\nMather B,195,Edison A,195
\nMather A,325,Bronx Science,65
\nHastings A,260,Edison A,245
\nHigh Tech,415,Edison B,20
\nHunter A,555,Hastings B,55
\nMather B,320,Hunter B,160
\nEastchester,350,Moravian Academy,155
\nEastchester,230,Edison A,215
\nBronx Science,215,Edison B,30
\nHastings A,315,Hunter B,225
\nHigh Tech,440,Hastings B,160
\nHunter A,355,Mather A,305
\nMather B,300,Moravian Academy,245
\nHunter B,285,Eastchester,180
\nHastings B,255,Bronx Science,120
\nEdison A,265,Moravian Academy,215
\nHunter A,320,High Tech,300
\nHastings A,355,Mather B,230
\nMather A,425,Edison B,35
\nMoravian Academy,190,Hastings B,150
\nHastings A,320,High Tech,305
\nHunter A,425,Mather B,115
\nHunter B,255,Edison B,15
\nMather A,375,Edison A,100
\nEastchester,310,Bronx Science,95
\nMoravian Academy,325,Bronx Science,80
\nHastings A,460,Edison A,90
\nHastings B,315,Edison B,45
\nHigh Tech,450,Mather B,90
\nHunter A,510,Mather A,110
\nEastchester,245,Hunter B,225
\nBronx Science,310,Edison B,60
\nEastchester,280,Moravian Academy,220
\nHastings A,415,Mather B,130
\nHigh Tech,285,Mather A,280
\nHastings B,235,Hunter B,175
\nHunter A,415,Edison A,155
\nHunter A,335,High Tech,300
\nHastings B,215,Bronx Science,125
\nEdison A,225,Mather B,215
\nEastchester,450,Edison B,-10
\nHastings A,355,Mather A,240
\nHunter A,430,Hastings A,190
\nHastings B,255,Eastchester,175
\nHigh Tech,415,Edison A,170
\nMoravian Academy,390,Edison B,15
\nMather A,275,Mather B,165
\nBronx Science,200,Hunter B,170
