Henderson B,420,Emmaus A,250
Northwestern Lehigh,310,Berwick A,230
Mountain Lakes A,445,Wissahickon A,210
Downingtown STE A,405,Friends Select A,125
Cedar Crest A,290,Pingry,220
Henderson A,520,Whitehall A,120
Great Valley A,590,Delaware Valley A,55
Edison,355,Ridgewood,285
Germantown Friends,425,Saucon Valley A,70
Downingtown STE A,330,Wissahickon A,220
Henderson A,410,Northwestern Lehigh,245
Cedar Crest A,270,Saucon Valley A,140
Emmaus A,220,Friends Select A,190
Pingry,230,Delaware Valley A,175
Edison,580,Whitehall A,75
Ridgewood,330,Berwick A,160
Mountain Lakes A,420,Henderson B,230
Germantown Friends,310,Great Valley A,290
Mountain Lakes A,315,Downingtown STE A,255
Wissahickon A,385,Emmaus A,165
Germantown Friends,510,Pingry,125
Henderson A,410,Ridgewood,225
Cedar Crest A,365,Delaware Valley A,155
Saucon Valley A,295,Great Valley A,270
Whitehall A,285,Northwestern Lehigh,235
Henderson B,325,Friends Select A,170
Edison,320,Berwick A,235
Ridgewood,285,Northwestern Lehigh,175
Berwick A,275,Whitehall A,265
Downingtown STE A,360,Henderson B,235
Friends Select A,275,Wissahickon A,245
Henderson A,525,Edison,195
Mountain Lakes A,475,Emmaus A,160
Saucon Valley A,335,Delaware Valley A,160
Great Valley A,510,Pingry,60
Germantown Friends,310,Cedar Crest A,185
Edison,395,Northwestern Lehigh,180
Mountain Lakes A,360,Friends Select A,185
Downingtown STE A,265,Emmaus A,195
Henderson B,305,Wissahickon A,250
Germantown Friends,355,Delaware Valley A,155
Pingry,260,Saucon Valley A,190
Great Valley A,425,Cedar Crest A,105
Ridgewood,290,Whitehall A,235
Henderson A,565,Berwick A,75
Edison,335,Great Valley A,300
Cedar Crest A,285,Ridgewood,245
Pingry,325,Northwestern Lehigh,135
Friends Select A,205,Saucon Valley A,185
Emmaus A,365,Whitehall A,165
Germantown Friends,385,Downingtown STE A,270
Berwick A,245,Delaware Valley A,215
Henderson A,300,Henderson B,260
Henderson A,525,Downingtown STE A,175
Mountain Lakes A,375,Great Valley A,260
Emmaus A,275,Delaware Valley A,230
Henderson B,360,Cedar Crest A,195
Germantown Friends,345,Ridgewood,230
Berwick A,270,Saucon Valley A,220
Whitehall A,245,Friends Select A,110
Wissahickon A,255,Pingry,225
Pingry,265,Whitehall A,190
Emmaus A,270,Northwestern Lehigh,225
Henderson B,345,Edison,230
Mountain Lakes A,280,Cedar Crest A,255
Great Valley A,340,Henderson A,320
Delaware Valley A,230,Wissahickon A,195
Downingtown STE A,365,Ridgewood,230
Berwick A,255,Friends Select A,245
Berwick A,315,Pingry,180
Henderson B,295,Germantown Friends,280
Downingtown STE A,470,Cedar Crest A,145
Saucon Valley A,255,Emmaus A,205
Edison,440,Mountain Lakes A,215
Great Valley A,365,Ridgewood,240
Friends Select A,230,Delaware Valley A,190
Northwestern Lehigh,350,Wissahickon A,195
Mountain Lakes A,460,Ridgewood,180
Great Valley A,340,Henderson B,300
Northwestern Lehigh,290,Delaware Valley A,180
Emmaus A,370,Pingry,130
Edison,440,Cedar Crest A,95
Germantown Friends,340,Henderson A,315
Berwick A,375,Wissahickon A,180
Whitehall A,345,Saucon Valley A,105
Whitehall A,245,Delaware Valley A,200
Germantown Friends,355,Mountain Lakes A,245
Northwestern Lehigh,270,Friends Select A,200
Ridgewood,220,Henderson B,210
Henderson A,355,Cedar Crest A,155
Edison,290,Downingtown STE A,285
Emmaus A,345,Berwick A,250
Great Valley A,235,Downingtown STE A,230
Edison,475,Germantown Friends,140
Friends Select A,235,Pingry,110
Henderson A,405,Mountain Lakes A,290
Saucon Valley A,245,Northwestern Lehigh,230
Edison,380,Henderson A,330
