Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Hanover A",485,7,8,4,320,21.33,Ticonderoga A,50
"
Champlain Valley A",445,7,7,4,290,20.71,Hanover B,170
"
Plymouth",380,4,8,2,250,20.83,Mt. Abraham A,115
"
Rice Memorial A",275,4,7,1,150,13.64,Essex B,80
"
Schuylerville A",275,1,9,2,180,18.00,BFA-Fairfax,85
"
Burlington A",295,6,3,3,190,21.11,Champlain Valley B,190
"
Burlington B",245,3,6,0,140,15.56,Essex A,225
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Champlain Valley A",600,7,12,3,390,20.53,Ticonderoga A,70
"
Burlington A",365,3,10,2,230,17.69,BFA-Fairfax,90
"
Essex A",360,3,10,1,220,16.92,Hanover B,85
"
Hanover A",470,7,7,3,310,22.14,Champlain Valley B,215
"
Plymouth",330,2,9,4,230,20.91,Essex B,145
"
Schuylerville A",300,5,4,1,190,21.11,Burlington B,170
"
Rice Memorial A",230,3,6,1,130,14.44,Mt. Abraham A,180
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Champlain Valley A",355,3,9,0,220,18.33,Plymouth,100
"
Hanover B",330,1,11,1,210,17.50,Ticonderoga A,130
"
Champlain Valley B",275,2,9,3,170,15.45,BFA-Fairfax,115
"
Rice Memorial A",310,2,6,0,220,27.50,Burlington B,160
"
Hanover A",285,2,8,3,190,19.00,Burlington A,220
"
Mt. Abraham A",160,1,6,1,90,12.86,Essex B,115
"
Schuylerville A",225,4,5,5,140,15.56,Essex A,185
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Plymouth",365,1,12,4,250,19.23,BFA-Fairfax,40
"
Champlain Valley A",505,6,8,1,340,24.29,Rice Memorial A,265
"
Mt. Abraham A",245,1,10,0,130,11.82,Ticonderoga A,60
"
Burlington A",280,0,10,2,190,19.00,Essex A,105
"
Champlain Valley B",235,2,6,1,150,18.75,Burlington B,105
"
Hanover A",305,5,4,2,200,22.22,Schuylerville A,185
"
Hanover B",190,1,7,3,120,15.00,Essex B,125
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Hanover A",560,10,7,2,350,20.59,Hanover B,75
"
Champlain Valley A",425,3,11,2,280,20.00,Champlain Valley B,195
"
Essex A",295,0,11,3,200,18.18,Ticonderoga A,95
"
Burlington B",290,1,9,1,190,19.00,Mt. Abraham A,100
"
Essex B",180,0,9,2,100,11.11,BFA-Fairfax,100
"
Plymouth",315,1,8,0,220,24.44,Rice Memorial A,235
"
Burlington A",255,1,7,0,170,21.25,Schuylerville A,245
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Burlington B",340,1,11,1,220,18.33,Essex B,45
"
Hanover A",425,10,3,3,260,20.00,Burlington A,240
"
Hanover B",245,0,10,1,150,15.00,Schuylerville A,130
"
Ticonderoga A",210,0,8,0,130,16.25,BFA-Fairfax,105
"
Rice Memorial A",285,1,9,2,190,19.00,Champlain Valley B,190
"
Essex A",235,1,11,0,110,9.17,Mt. Abraham A,140
"
Champlain Valley A",425,5,7,0,280,23.33,Plymouth,340
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Champlain Valley A",445,6,7,3,300,23.08,Hanover A,305
"
Rice Memorial A",245,2,10,3,130,10.83,Hanover B,135
"
Champlain Valley B",240,3,7,3,140,14.00,Schuylerville A,145
"
Essex B",195,0,9,1,110,12.22,BFA-Fairfax,105
"
Essex A",265,1,9,0,160,16.00,Burlington B,190
"
Ticonderoga A",235,1,9,0,130,13.00,Mt. Abraham A,190
"
Plymouth",325,6,5,5,210,19.09,Burlington A,285
