\nUniversity Lab (Urbana),440,Fremd B,175
\nDetroit Catholic Central B,310,Glenbard North A,195
\nAuburn (Rockford),425,Hinsdale Central,180
\nFremd A,355,Detroit Catholic Central A,195
\nIMSA,380,Winnebago,140
\nNorthmont,460,Glenbard North B,40
\nAuburn (Rockford),590,Glenbard North B,45
\nUniversity Lab (Urbana),460,Glenbard North A,125
\nNorthmont,270,Fremd B,265
\nDetroit Catholic Central A,375,Detroit Catholic Central B,190
\nFremd A,470,Winnebago,70
\nIMSA,390,Hinsdale Central,215
\nGlenbard North A,215,Glenbard North B,105
\nIMSA,490,Fremd B,165
\nUniversity Lab (Urbana),445,Detroit Catholic Central B,110
\nDetroit Catholic Central A,380,Hinsdale Central,175
\nAuburn (Rockford),465,Winnebago,170
\nFremd A,420,Northmont,200
\nFremd B,380,Winnebago,175
\nFremd A,525,Glenbard North B,45
\nIMSA,480,Northmont,165
\nUniversity Lab (Urbana),320,Auburn (Rockford),305
\nDetroit Catholic Central A,585,Glenbard North A,35
\nHinsdale Central,365,Detroit Catholic Central B,205
\nAuburn (Rockford),395,Glenbard North A,120
\nFremd A,345,Detroit Catholic Central B,170
\nIMSA,440,Glenbard North B,55
\nUniversity Lab (Urbana),530,Winnebago,120
\nDetroit Catholic Central A,450,Northmont,100
\nFremd B,370,Hinsdale Central,195
\nDetroit Catholic Central A,340,Auburn (Rockford),285
\nNorthmont,325,Winnebago,210
\nUniversity Lab (Urbana),375,Fremd A,210
\nIMSA,465,Detroit Catholic Central B,110
\nHinsdale Central,225,Glenbard North A,210
\nFremd B,300,Glenbard North B,95
\nWinnebago,365,Glenbard North B,40
\nIMSA,460,Glenbard North A,155
\nFremd A,575,Hinsdale Central,70
\nUniversity Lab (Urbana),505,Northmont,100
\nFremd B,340,Detroit Catholic Central A,275
\nAuburn (Rockford),525,Detroit Catholic Central B,110
\nNorthmont,425,Detroit Catholic Central B,170
\nUniversity Lab (Urbana),350,IMSA,325
\nDetroit Catholic Central A,410,Glenbard North B,135
\nFremd B,325,Glenbard North A,195
\nWinnebago,290,Hinsdale Central,260
\nAuburn (Rockford),430,Fremd A,245
\nFremd A,260,Fremd B,245
\nUniversity Lab (Urbana),425,Hinsdale Central,215
\nDetroit Catholic Central B,355,Glenbard North B,45
\nIMSA,350,Detroit Catholic Central A,260
\nAuburn (Rockford),385,Northmont,200
\nGlenbard North A,255,Winnebago,245
\nFremd A,330,IMSA,240
\nWinnebago,270,Detroit Catholic Central B,165
\nAuburn (Rockford),430,Fremd B,200
\nUniversity Lab (Urbana),390,Detroit Catholic Central A,265
\nHinsdale Central,335,Glenbard North B,140
\nNorthmont,230,Glenbard North A 220,(OT)
\nFremd A,460,Glenbard North A,125
\nUniversity Lab (Urbana),470,Glenbard North B,75
\nDetroit Catholic Central A,510,Winnebago,40
\nFremd B,370,Detroit Catholic Central B,150
\nHinsdale Central,350,Northmont,170
\nAuburn (Rockford),335,IMSA,280
\nAuburn (Rockford),520,Fremd A,135
