\nDel Norte A,500,Scripps Ranch,160
\nFrancis Parker,340,Rancho Bernardo A,115
\nCanyon Crest A,495,Westview B,90
\nDel Norte B,260,Our Lady of Peace A,85
\nOlympian A,190,St. Margaret\'s Episcopal,90
\nWestview A,360,Arcadia A,80
\nScripps Ranch,290,St. Margaret\'s Episcopal,135
\nDel Norte A,495,Westview A,140
\nOlympian A,250,Arcadia A,215
\nRancho Bernardo A,205,Our Lady of Peace A,160
\nDel Norte B,305,Westview B,170
\nCanyon Crest A,435,Francis Parker,185
\nArcadia A,270,St. Margaret\'s Episcopal,35
\nWestview A,280,Scripps Ranch,240
\nDel Norte A,495,Olympian A,140
\nCanyon Crest A,410,Rancho Bernardo A,245
\nWestview B,280,Our Lady of Peace A,95
\nFrancis Parker,240,Del Norte B,155
\nDel Norte A,490,Arcadia A,105
\nOlympian A,370,Scripps Ranch,190
\nWestview A,365,St. Margaret\'s Episcopal,25
\nCanyon Crest A,365,Del Norte B,185
\nFrancis Parker,335,Our Lady of Peace A,110
\nRancho Bernardo A,350,Westview B,100
\nWestview A,310,Olympian A,180
\nArcadia A,225,Scripps Ranch,185
\nDel Norte A,555,St. Margaret\'s Episcopal,20
\nFrancis Parker,310,Westview B,120
\nCanyon Crest A,410,Our Lady of Peace A,15
\nRancho Bernardo A,245,Del Norte B,135
