\nInnovation Academy A,285,Chamblee B,85
\nPaideia A,310,Hebron,50
\nMidtown,320,Greater Atlanta Christian,185
\nNorth Gwinnett,340,Campbell,70
\nBlessed Trinity Catholic,50,Taylor Road,40
\nChattahoochee C,390,Northview A,60
\nChattahoochee D,140,Innovation Academy D,130
\nDorman A,115,Chattahoochee F,95
\nLambert B,205,Marist,135
\nJohns Creek A,285,Innovation Academy B,130
\nMilton A,235,Chamblee A,185
\nInnovation Academy C,120,Chattahoochee E,115
\nLambert A,280,Johns Creek B,220
\nPaideia B,270,Eastside,70
\nMidtown,385,Lambert B,140
\nMarist,160,Innovation Academy C,100
\nJohns Creek A,320,Chattahoochee E,55
\nInnovation Academy A,235,Dorman A,130
\nChamblee B,205,Blessed Trinity Catholic,105
\nTaylor Road,95,Chattahoochee F,35
\nLambert A,300,Chattahoochee D,100
\nHebron,135,Innovation Academy D,25
\nJohns Creek B,265,Paideia A,160
\nGreater Atlanta Christian,155,Northview A,120
\nPaideia B,210,Milton A,105
\nChattahoochee C,260,Innovation Academy B,150
\nEastside,180,Campbell,80
\nChamblee A,290,North Gwinnett,165
\nChattahoochee F,135,Chamblee B,125
\nChattahoochee D,170,Hebron,120
\nMidtown,485,Marist,40
\nInnovation Academy A,260,Blessed Trinity Catholic,25
\nNorthview A,230,Innovation Academy C,115
\nEastside,220,Milton A,60
\nNorth Gwinnett,230,Paideia B,110
\nChattahoochee C,300,Johns Creek A,215
\nChattahoochee E,205,Lambert B,90
\nJohns Creek B,390,Innovation Academy D,45
\nGreater Atlanta Christian,315,Innovation Academy B,130
\nPaideia A,225,Lambert A,210
\nDorman A,205,Taylor Road,35
\nChamblee A,330,Campbell,45
\nJohns Creek A,275,Greater Atlanta Christian,150
\nMidtown,535,Chattahoochee E,40
\nChattahoochee F,140,Blessed Trinity Catholic,50
\nDorman A,185,Chamblee B,130
\nInnovation Academy B,230,Northview A,120
\nPaideia A,340,Innovation Academy D,30
\nLambert B,185,Innovation Academy C,40
\nMilton A,200,Campbell,55
\nLambert A,315,Hebron,45
\nInnovation Academy A,325,Taylor Road,20
\nChattahoochee C,290,Marist,80
\nJohns Creek B,265,Chattahoochee D,115
\nNorth Gwinnett,350,Eastside,60
\nChamblee A,290,Paideia B,110
\nMidtown,455,Innovation Academy C,130
\nJohns Creek A,335,Northview A,80
\nPaideia B,200,Campbell,80
\nBlessed Trinity Catholic,145,Dorman A,70
\nChattahoochee E,225,Marist,120
\nChamblee B,210,Taylor Road,15
\nChattahoochee C,260,Greater Atlanta Christian,175
\nLambert B,175,Innovation Academy B,165
\nPaideia A,225,Chattahoochee D,110
\nInnovation Academy A,300,Chattahoochee F,35
\nJohns Creek B,465,Hebron,40
\nLambert A,270,Innovation Academy D,45
\nChamblee A,295,Eastside,60
\nNorth Gwinnett,195,Milton A,160
\nNorth Gwinnett,240,Paideia A,190
\nLambert A,205,Paideia B,105
\nInnovation Academy A,135,Milton A,40
\nMidtown,370,Chattahoochee E,75
\nChamblee A,320,Lambert B,100
\nChattahoochee C,240,Chamblee B,135
\nJohns Creek B,355,Greater Atlanta Christian,45
\nMidtown,355,North Gwinnett,210
\nChattahoochee C,285,Lambert A,155
\nChamblee A,380,Innovation Academy A,90
\nJohns Creek A,290,Johns Creek B,185
\nChamblee A,220,Chattahoochee C,150
\nMidtown,375,Johns Creek A,130
\nMidtown,335,Chamblee A,150
