\nBASIS McLean A,485,Virginia Episcopal School B,5
\nVirginia Episcopal School A,215,Maggie Walker B,170
\nMaggie Walker A,430,Langley,140
\nTJHSST C,410,Norfolk Academic Guild B,75
\nTJHSST B,350,Orange County,115
\nFreeman,440,Fort Defiance,90
\nRichard Montgomery B,415,TJHSST D,180
\nTJHSST A,525,BASIS McLean B,80
\nDetroit Catholic Central B,395,Cave Spring,120
\nFort Defiance,270,Maggie Walker B,145
\nCave Spring,145,Norfolk Academic Guild B,115
\nRichard Montgomery A,430,TJHSST A,215
\nRichard Montgomery B,370,Langley,150
\nTJHSST C,365,Virginia Episcopal School B,30
\nTJHSST D,195,Orange County,185
\nNorfolk Academic Guild A,405,Detroit Catholic Central B,120
\nDetroit Catholic Central A,605,TJHSST B,65
\nBASIS McLean B,185,Virginia Episcopal School A,170
\nFreeman,445,Maggie Walker B,80
\nNorfolk Academic Guild A,475,Norfolk Academic Guild B,20
\nBASIS McLean A,340,TJHSST C,165
\nDetroit Catholic Central A,710,TJHSST D,-10
\nOrange County,285,Langley,45
\nBASIS McLean B,180,Fort Defiance,160
\nRichard Montgomery B,295,Maggie Walker A,230
\nRichard Montgomery A,560,Virginia Episcopal School A,85
\nCave Spring,150,Virginia Episcopal School B,85
\nRichard Montgomery A,405,Fort Defiance,100
\nMaggie Walker A,285,Orange County,160
\nBASIS McLean A,325,Cave Spring,150
\nTJHSST D,340,TJHSST B,180
\nFreeman,620,BASIS McLean B,50
\nTJHSST A,520,Virginia Episcopal School A,-5
\nDetroit Catholic Central A,485,Langley,105
\nDetroit Catholic Central B,405,Norfolk Academic Guild B,70
\nNorfolk Academic Guild A,515,Virginia Episcopal School B,40
\nTJHSST A,425,Fort Defiance,90
\nNorfolk Academic Guild A,295,BASIS McLean A,245
\nTJHSST C,335,Cave Spring,85
\nTJHSST B,285,Langley,65
\nDetroit Catholic Central B,310,Virginia Episcopal School B,105
\nRichard Montgomery B,430,Orange County,100
\nDetroit Catholic Central A,520,Maggie Walker A,135
\nBASIS McLean B,300,Maggie Walker B,50
\nRichard Montgomery A,440,Freeman,215
\nMaggie Walker A,285,TJHSST B,180
\nLangley,230,TJHSST D,175
\nFreeman,390,TJHSST A,325
\nRichard Montgomery A,490,Maggie Walker B,90
\nNorfolk Academic Guild A,435,TJHSST C,135
\nFort Defiance,270,Virginia Episcopal School A,135
\nNorfolk Academic Guild B,95,Virginia Episcopal School B,50
\nDetroit Catholic Central A,655,Richard Montgomery B,100
\nBASIS McLean A,335,Detroit Catholic Central B,255
\nNorfolk Academic Guild A,595,Cave Spring,20
\nTJHSST A,405,Maggie Walker B,90
\nFreeman,440,Virginia Episcopal School A,105
\nRichard Montgomery A,610,BASIS McLean B,35
\nBASIS McLean A,415,Norfolk Academic Guild B,110
\nTJHSST C,310,Detroit Catholic Central B,145
\nDetroit Catholic Central A,540,Orange County,65
\nMaggie Walker A,400,TJHSST D,70
\nRichard Montgomery B,355,TJHSST B,180
\nTJHSST A,370,Detroit Catholic Central B,175
\nFort Defiance,260,Norfolk Academic Guild B,90
\nNorfolk Academic Guild A,340,Richard Montgomery B,270
\nDetroit Catholic Central A,370,Freeman,350
\nTJHSST D,295,Virginia Episcopal School A,110
\nTJHSST C,430,TJHSST B,150
\nOrange County,325,Cave Spring,90
\nMaggie Walker A,300,BASIS McLean B,170
\nLangley,285,Virginia Episcopal School B,120
\nRichard Montgomery A,390,BASIS McLean A,220
\nBASIS McLean A,370,Freeman,230
\nTJHSST A,360,TJHSST B,175
\nRichard Montgomery A,300,Richard Montgomery B,280
\nFort Defiance,220,Orange County,150
\nDetroit Catholic Central B,310,BASIS McLean B,125
\nTJHSST D,365,Cave Spring,50
\nDetroit Catholic Central A,370,Norfolk Academic Guild A,240
\nTJHSST C,295,Maggie Walker A,265
\nVirginia Episcopal School A,220,Norfolk Academic Guild B,145
\nMaggie Walker B,240,Virginia Episcopal School B,105
\nTJHSST A,420,TJHSST C,175
\nTJHSST B,280,BASIS McLean B,160
\nDetroit Catholic Central B,390,Maggie Walker A,125
\nFort Defiance,275,Cave Spring,125
\nDetroit Catholic Central A,515,BASIS McLean A,210
\nRichard Montgomery A,400,Norfolk Academic Guild A,200
\nTJHSST D,160,Norfolk Academic Guild B,140
\nRichard Montgomery B,355,Freeman,230
\nMaggie Walker B,200,Langley,35
\nOrange County,180,Virginia Episcopal School A,170
\nOrange County,260,Norfolk Academic Guild B,115
\nBASIS McLean A,465,Richard Montgomery B,175
\nDetroit Catholic Central B,360,TJHSST B,190
\nVirginia Episcopal School A,240,Cave Spring,90
\nTJHSST C,355,BASIS McLean B,140
\nFort Defiance,345,TJHSST D,150
\nMaggie Walker A,350,TJHSST A,200
\nDetroit Catholic Central A,500,Richard Montgomery A,220
\nFreeman,455,Norfolk Academic Guild A,275
