\nMounds Park Academy A,490,Wayzata B,105
\nEden Prairie B,210,Wayzata E,205
\nSt. Paul Academy,405,Irondale A,205
\nHudson A,265,Irondale B,160
\nWayzata C,350,Mounds Park Academy B,180
\nEden Prairie A,215,Wayzata D,210
\nWayzata A,570,Mounds Park Academy B,105
\nWayzata B,395,Hudson B,95
\nSt. Paul Academy,420,Wayzata E,105
\nIrondale A,370,Mounds Park Academy A,260
\nWayzata C,285,Eden Prairie A,240
\nHudson A,355,Wayzata D,90
\nWayzata D,140,Irondale B,135
\nWayzata A,565,Eden Prairie A,75
\nHudson A,300,Wayzata C,165
\nMounds Park Academy A,355,St. Paul Academy,150
\nWayzata B,290,Wayzata E,170
\nEden Prairie B,230,Hudson B,60
\nMounds Park Academy A,450,Wayzata E,120
\nIrondale A,495,Hudson B,85
\nSt. Paul Academy,460,Eden Prairie B,105
\nWayzata A,375,Hudson A,195
\nWayzata C,310,Irondale B,155
\nEden Prairie A,300,Mounds Park Academy B,255
\nWayzata C,205,Wayzata D,195
\nHudson A,335,Mounds Park Academy B,120
\nWayzata A,385,Irondale B,145
\nMounds Park Academy A,490,Hudson B,60
\nIrondale A,400,Eden Prairie B,50
\nWayzata B,335,St. Paul Academy,220
\nHudson A,350,Eden Prairie A,210
\nWayzata A,505,Wayzata D,35
\nIrondale B,245,Mounds Park Academy B,150
\nIrondale A,385,Wayzata E,195
\nSt. Paul Academy,505,Hudson B,60
\nWayzata B,250,Eden Prairie B,175
\nWayzata A,440,Wayzata C,170
\nEden Prairie A,425,Irondale B,30
\nMounds Park Academy B,250,Wayzata D,110
\nIrondale A,295,Wayzata B,190
\nMounds Park Academy A,380,Eden Prairie B,115
\nWayzata E,295,Hudson B,95
\nMounds Park Academy A,375,Eden Prairie A,95
\nWayzata A,495,Wayzata B,155
\nSt. Paul Academy,245,Hudson A,210
\nIrondale A,455,Wayzata C,140
\nWayzata E,220,Mounds Park Academy B,185
\nIrondale B,160,Hudson B,135
\nWayzata D,240,Eden Prairie B,115
\nHudson A,260,Wayzata B,235
\nMounds Park Academy A,325,Wayzata C,265
\nWayzata A,390,St. Paul Academy,240
\nIrondale A,365,Eden Prairie A,200
\nEden Prairie B,170,Irondale B,135
\nMounds Park Academy B,200,Hudson B,85
\nWayzata D,180,Wayzata E,170
\nIrondale A,375,Wayzata A,255
\nSt. Paul Academy,460,Eden Prairie A,100
\nMounds Park Academy A,330,Hudson A,210
\nWayzata C,310,Wayzata B,215
\nHudson B,160,Wayzata D,145
\nIrondale B,190,Wayzata E,150
\nMounds Park Academy B,320,Eden Prairie B,110
\nWayzata B,265,Eden Prairie A,240
\nSt. Paul Academy,355,Wayzata C,210
\nIrondale A,330,Hudson A,190
\nWayzata A,420,Mounds Park Academy A,225
\nIrondale A,335,Wayzata A,250
