\nWest Windsor-Plainsboro North B,355,Community School of Naples,170
\nBelmont A,465,West Windsor-Plainsboro North A,295
\nFremd A,360,Belmont B,355
\nCedar Crest High School,600,Fremd B,105
\nWest Windsor-Plainsboro North A,375,Belmont B,285
\nCedar Crest High School,625,West Windsor-Plainsboro North B,55
\nCommunity School of,Naples,,1
\nBelmont A,530,Fremd A,180
\nBelmont B,560,Community School of Naples,65
\nCedar Crest High School,495,Fremd A,150
\nBelmont A,395,West Windsor-Plainsboro North B,260
\nWest Windsor-Plainsboro North A,505,Fremd B,70
\nWest Windsor-Plainsboro North A,585,Community School of Naples,80
\nFremd A,510,West Windsor-Plainsboro North B,155
\nBelmont B,370,Fremd B,195
\nBelmont A,430,Cedar Crest High School,315
\nBelmont B,345,West Windsor-Plainsboro North B,265
\nCedar Crest High School,485,West Windsor-Plainsboro North A,180
\nBelmont A,620,Community School of Naples,45
\nFremd A,300,Fremd B,225
\nWest Windsor-Plainsboro North A,475,West Windsor-Plainsboro North B,130
\nFremd A,415,Community School of Naples,50
\nBelmont B,385,Cedar Crest High School,320
\nBelmont A,425,Fremd B,280
\nBelmont B,365,Belmont A,360
\nCedar Crest High School,505,Community School of Naples,115
\nFremd A,435,West Windsor-Plainsboro North A,220
\nFremd B,410,West Windsor-Plainsboro North B,200
