\nBuffalo Grove,675,Waubonsie Valley,100
\nAuburn,650,Stanton College Prep,135
\nBarrington,585,Wissahickon,210
\nAuburn,435,Buffalo Grove,340
\nBarrington,450,Waubonsie Valley,260
\nWissahickon,375,Stanton College Prep,290
\nBuffalo Grove,485,Barrington,280
\nAuburn,480,Wissahickon,220
\nWaubonsie Valley,510,Stanton College Prep,135
\nAuburn,505,Barrington,350
\nBuffalo Grove,675,Stanton College Prep,80
\nWissahickon,360,Waubonsie Valley,265
\nAuburn,360,Waubonsie Valley,285
\nBuffalo Grove,495,Wissahickon,225
\nBarrington,580,Stanton College Prep,105
\nBarrington,450,Buffalo Grove,305
\nWaubonsie Valley,515,Stanton College Prep,115
\nAuburn,410,Barrington,360
\nWissahickon,405,Stanton College Prep,265
\nBuffalo Grove,485,Auburn,315
\nWaubonsie Valley,420,Wissahickon,260
\nBuffalo Grove,425,Auburn,335
\nWaubonsie Valley,520,Wissahickon,120
\nBuffalo Grove,650,Auburn,160
