\nGould Academy A,230,Windham B,65
\nWaterville,205,Gould Academy B,150
\nMarshwood,195,NYA,150
\nPlymouth,375,Windham A,175
\nMarshwood,180,Gould Academy B,115
\nPlymouth,345,Windham B,120
\nWindham A,305,Gould Academy A,155
\nWaterville,235,NYA,180
\nPlymouth,540,Waterville,45
\nWindham A,350,Marshwood,85
\nGould Academy A,395,Gould Academy B,80
\nNYA,175,Windham B,140
\nPlymouth,500,NYA,40
\nWindham A,315,Gould Academy B,110
\nWaterville,285,Windham B,110
\nGould Academy A,395,Marshwood,40
\nWindham A,315,Waterville,190
\nGould Academy A,230,NYA,155
\nPlymouth,540,Marshwood,30
\nGould Academy B,110,Windham B,85
\nWindham A,335,NYA,140
\nWaterville,185,Gould Academy A,155
\nMarshwood,185,Windham B,105
\nPlymouth,510,Gould Academy B,20
\nWaterville,320,Marshwood,95
\nPlymouth,345,Gould Academy A,175
\nGould Academy B,220,NYA,55
\nWindham A,380,Windham B,55
