\nColumbia Independent A,410,Waynesville,100
\nSouthern Boone,190,Fulton,95
\nCalvary Lutheran B,185,Mexico B,145
\nJefferson City,400,Cass Midway,40
\nNevada,300,Columbia Independent B,80
\nHallsville,390,Crocker,70
\nCalvary Lutheran A,335,Butler,115
\nMexico A,570,Silex,10
\nButler,270,Hallsville,220
\nNevada,215,Silex,60
\nCalvary Lutheran A,400,Crocker,70
\nJefferson City,305,Fulton,80
\nMexico A,520,Columbia Independent B,95
\nColumbia Independent A,450,Mexico B,55
\nCalvary Lutheran B,195,Waynesville,150
\nSouthern Boone,255,Cass Midway,100
\nHallsville,220,Calvary Lutheran A,190
\nMexico A,465,Nevada,90
\nButler,280,Crocker,95
\nColumbia Independent B,195,Silex,20
\nWaynesville,205,Mexico B,50
\nJefferson City,280,Southern Boone,90
\nFulton,250,Cass Midway,100
\nColumbia Independent A,340,Calvary Lutheran B,100
\nMexico B,145,Nevada,120
\nCalvary Lutheran A,360,Fulton,120
\nJefferson City,325,Crocker,120
\nButler,205,Southern Boone,120
\nColumbia Independent A,480,Silex,20
\nHallsville,305,Cass Midway,105
\nColumbia Independent B,195,Waynesville,180
\nMexico A,685,Calvary Lutheran B,70
\nColumbia Independent A,390,Fulton,85
\nWaynesville,145,Cass Midway,100
\nCalvary Lutheran A,490,Silex,30
\nJefferson City,325,Mexico B,80
\nHallsville,300,Columbia Independent B,85
\nMexico A,505,Butler,125
\nCalvary Lutheran B,160,Southern Boone,110
\nNevada,240,Crocker,165
\nMexico A,510,Southern Boone,105
\nHallsville,295,Waynesville,240
\nButler,230,Calvary Lutheran B,130
\nColumbia Independent B,305,Cass Midway,100
\nFulton,200,Silex,20
\nJefferson City,215,Nevada,190
\nCrocker,200,Mexico B,165
\nColumbia Independent A,370,Calvary Lutheran A,100
\nMexico A,510,Columbia Independent B,95
\nCass Midway,180,Crocker,140
\nColumbia Independent A,400,Nevada,225
\nMexico B,170,Silex,50
\nWaynesville,145,Fulton,130
\nButler,201,Jefferson City,200
\nSouthern Boone,136,Calvary Lutheran B,135
\nCalvary Lutheran A,325,Hallsville,220
\nColumbia Independent A,470,Butler,95
\nCrocker,305,Silex,60
\nMexico A,440,Calvary Lutheran A,220
\nCass Midway,145,Mexico B,110
\nSouthern Boone,185,Waynesville,140
\nHallsville,340,Columbia Independent B,165
\nCalvary Lutheran B,150,Fulton,130
\nJefferson City,250,Nevada,160
\nCrocker,320,Mexico B,90
\nButler,280,Nevada,175
\nCass Midway,210,Silex,80
\nFulton,210,Southern Boone,180
\nMexico A,575,Hallsville,150
\nCalvary Lutheran A,385,Columbia Independent B,195
\nCalvary Lutheran B,215,Waynesville,175
\nColumbia Independent A,395,Jefferson City,205
\nMexico A,485,Columbia Independent A,175
\nCalvary Lutheran A,325,Butler,135
