\nLivingston A,510,Edison B,175
\nWilmington Charter,420,Princeton High,180
\nHunter A,440,Biotech A,145
\nWilton,540,High Tech B,105
\nEdison A,370,Friends Select B,110
\nDetroit Country Day,630,Middlesex Middle,80
\nIthaca A,445,Livingston B,150
\nFriends Select A,255,Hunter B,160
\nRidgewood A,365,Stevens B,65
\nStevens A,725,Ithaca B,20
\nRidgewood B,245,Biotech B,165
\nHigh Tech A,450,Livingston C,120
\nPrinceton High,345,Edison B,175
\nLivingston A,380,Biotech A,110
\nHunter A,510,Wilmington Charter,200
\nHigh Tech B,190,Friends Select B,50
\nWilton,440,Middlesex Middle,155
\nDetroit Country Day,610,Edison A,130
\nLivingston B,235,Friends Select A,145
\nIthaca A,415,Stevens B,65
\nRidgewood A,340,Hunter B,70
\nBiotech B,220,Ithaca B,90
\nStevens A,620,Livingston C,50
\nHigh Tech A,540,Ridgewood B,40
\nHunter A,425,Princeton High,280
\nBiotech A,270,Edison B,265
\nLivingston A,425,Wilmington Charter,200
\nDetroit Country Day,505,Friends Select B,70
\nMiddlesex Middle,255,High Tech B,80
\nWilton,330,Edison A,205
\nRidgewood A,440,Friends Select A,170
\nLivingston B,255,Stevens B,130
\nIthaca A,355,Hunter B,155
\nHigh Tech A,450,Biotech B,90
\nLivingston C,300,Ithaca B,65
\nStevens A,495,Ridgewood B,105
\nHunter A,440,Livingston A,250
\nWilmington Charter,270,Edison B,245
\nBiotech A,300,Princeton High,200
\nDetroit Country Day,445,Wilton,210
\nEdison A,465,High Tech B,40
\nMiddlesex Middle,265,Friends Select B,135
\nIthaca A,455,Ridgewood A,40
\nLivingston B,235,Hunter B,200
\nFriends Select A,215,Stevens B,140
\nStevens A,490,High Tech A,190
\nRidgewood B,290,Ithaca B,45
\nLivingston C,145,Biotech B,140
\nBiotech A,310,Wilmington Charter,245
\nHunter A,500,Edison B,160
\nLivingston A,490,Princeton High,180
\nEdison A,300,Middlesex Middle,165
\nDetroit Country Day,530,High Tech B,75
\nWilton,460,Friends Select B,85
\nHunter B,205,Stevens B,90
\nRidgewood A,235,Livingston B,170
\nIthaca A,325,Friends Select A,195
\nRidgewood B,285,Livingston C,30
\nHigh Tech A,455,Ithaca B,45
\nStevens A,465,Biotech B,125
\nLivingston A,390,Stevens A,370
\nDetroit Country Day,650,High Tech A,90
\nWilton,380,Ithaca A,265
\nHunter A,495,Ridgewood A,135
\nWilmington Charter,390,Ridgewood B,95
\nEdison A,360,Livingston C,115
\nMiddlesex Middle,325,Livingston B,155
\nBiotech A,345,Friends Select A,135
\nEdison B,420,Biotech B,80
\nHigh Tech B,280,Ithaca B,60
\nHunter B,215,Friends Select B,125
\nPrinceton High,265,Stevens B,70
\nHunter A,455,Wilton,230
\nHigh Tech A,265,Ithaca A,260
\nDetroit Country Day,440,Livingston A,235
\nStevens A,515,Ridgewood A,125
\nMiddlesex Middle,365,Biotech A,170
\nLivingston B,285,Livingston C,95
\nWilmington Charter,560,Edison A,75
\nFriends Select A,270,Ridgewood B,160
\nPrinceton High,410,Friends Select B,40
\nHunter B,330,Ithaca B,30
\nEdison B,300,High Tech B,140
\nBiotech B,200,Stevens B,100
\nLivingston A,440,Ithaca A,250
\nDetroit Country Day,665,Ridgewood A,45
\nStevens A,465,Wilton,275
\nHunter A,490,High Tech A,185
\nWilmington Charter,530,Livingston B,60
\nEdison A,340,Friends Select A,165
\nMiddlesex Middle,355,Ridgewood B,55
\nBiotech A,280,Livingston C,70
\nEdison B,280,Hunter B,175
\nHigh Tech B,175,Stevens B,130
\nBiotech B,160,Friends Select B,65
\nPrinceton High,350,Ithaca B,40
\nHunter A,435,Ithaca A,225
\nLivingston A,445,Ridgewood A,175
\nDetroit Country Day,470,Stevens A,220
\nWilton,360,High Tech A,310
\nBiotech A,265,Livingston B,115
\nWilmington Charter,525,Friends Select A,70
\nEdison A,330,Ridgewood B,145
\nMiddlesex Middle,205,Livingston C,125
\nPrinceton High,265,Hunter B,185
\nEdison B,355,Stevens B,55
\nBiotech B,160,High Tech B,140
\nFriends Select B,160,Ithaca B,5
\nWilton,305,Ridgewood A,245
\nStevens A,385,Hunter A,260
\nLivingston A,385,High Tech A,355
\nDetroit Country Day,505,Ithaca A,205
\nFriends Select A,270,Middlesex Middle,215
\nBiotech A,320,Ridgewood B,160
\nWilmington Charter,450,Livingston C,115
\nEdison A,275,Livingston B,230
\nFriends Select B,185,Stevens B,155
\nPrinceton High,395,Biotech B,135
\nEdison B,365,Ithaca B,125
\nHunter B,195,High Tech B,165
\nStevens A,430,Ithaca A,275
\nHigh Tech A,325,Ridgewood A,255
\nDetroit Country Day,385,Hunter A,285
\nLivingston A,485,Wilton,150
\nLivingston B,255,Ridgewood B,180
\nFriends Select A,325,Livingston C,100
\nEdison A,320,Biotech A,175
\nWilmington Charter,415,Middlesex Middle,135
\nHunter B,270,Biotech B,65
\nIthaca B,160,Stevens B,130
\nPrinceton High,290,High Tech B,140
\nEdison B,365,Friends Select B,120
