"""Discourse on Livi"" B",510,Allied A,80
Mountain Lakes,375,Brick,40
Ridgewood,325,Leonia B,-5
D-STEM,440,Biotech D,-10
Biotech A,425,Leonia A,5
Woodland,395,"""Discourse on Livi"" A",180
Ithaca A,520,Jonathan Dayton,70
Darien A,425,Hunter B,220
Holmdel,225,Biotech C,60
East Brunswick,405,Allied B,70
Biotech B,360,Ithaca B,80
Hunter A,515,Darien B,105
"""Discourse on Livi"" B",345,Leonia B,100
Mountain Lakes,355,Ridgewood,85
Brick,180,Allied A,70
D-STEM,485,"""Discourse on Livi"" A",120
Woodland,580,Leonia A,65
Biotech A,360,Biotech D,40
Ithaca A,440,Holmdel,100
Darien A,605,Biotech C,35
Hunter B,440,Jonathan Dayton,45
East Brunswick,380,Darien B,270
Hunter A,655,Ithaca B,15
Allied B,170,Biotech B,115
"""Discourse on Livi"" B",340,Ridgewood,115
Brick,145,Leonia B,95
Mountain Lakes,355,Allied A,55
Woodland,630,Biotech D,-10
"""Discourse on Livi"" A",225,Leonia A,85
D-STEM,345,Biotech A,275
Biotech C,145,Jonathan Dayton,75
Darien A,490,Holmdel,50
Ithaca A,345,Hunter B,165
Hunter A,660,Allied B,25
Darien B,330,Ithaca B,115
East Brunswick,460,Biotech B,125
Ridgewood,275,Brick,55
Allied A,150,Leonia B,30
"""Discourse on Livi"" B",420,Mountain Lakes,115
Woodland,290,Biotech A,230
"""Discourse on Livi"" A",240,Biotech D,85
D-STEM,315,Leonia A,100
Hunter B,385,Biotech C,25
Holmdel,235,Jonathan Dayton,80
Darien A,375,Ithaca A,200
Hunter A,605,Biotech B,70
Darien B,380,Allied B,60
East Brunswick,365,Ithaca B,105
Mountain Lakes,355,Leonia B,20
Ridgewood,225,Allied A,15
"""Discourse on Livi"" B",435,Brick,30
Biotech A,255,"""Discourse on Livi"" A",200
Woodland,395,D-STEM,135
Leonia A,190,Biotech D,10
Hunter B,450,Holmdel,30
Ithaca A,505,Biotech C,30
Darien A,475,Jonathan Dayton,5
Darien B,300,Biotech B,175
Hunter A,375,East Brunswick,295
Allied B,135,Ithaca B,85
Leonia B,100,Leonia A,70
Biotech B,135,Jonathan Dayton,105
Biotech D,120,Allied A,65
Biotech C,105,Ithaca B,85
Biotech A,270,Brick,70
Darien B,295,Holmdel,115
Ridgewood,160,"""Discourse on Livi"" A",100
Hunter B,315,Allied B,90
Woodland,350,Mountain Lakes,200
Hunter A,440,Ithaca A,215
"""Discourse on Livi"" B",330,D-STEM,265
Darien A,280,East Brunswick,255
Leonia B,75,Jonathan Dayton,50
Leonia A,200,Biotech B,190
Ithaca B,185,Biotech D,10
Biotech C,140,Allied A,50
Holmdel,175,Brick,95
Darien B,370,Biotech A,175
"""Discourse on Livi"" A",310,Allied B,95
Hunter B,315,Ridgewood,80
Mountain Lakes,270,Ithaca A,225
Hunter A,335,Woodland,285
East Brunswick,295,D-STEM,280
Darien A,295,"""Discourse on Livi"" B",160
Leonia A,180,Jonathan Dayton,100
Biotech B,165,Leonia B,60
Allied A,110,Ithaca B,90
Biotech C,120,Biotech D,70
Biotech A,485,Holmdel,35
Darien B,335,Brick,70
Ridgewood,255,Allied B,65
"""Discourse on Livi"" A",250,Hunter B,190
Woodland,405,Ithaca A,230
Hunter A,510,Mountain Lakes,180
East Brunswick,325,"""Discourse on Livi"" B",265
Darien A,295,D-STEM,220
Jonathan Dayton,150,Biotech D,30
Biotech B,205,Biotech C,35
Holmdel,170,Allied B,75
Darien B,380,"""Discourse on Livi"" A",135
Hunter B,325,Biotech A,85
Ithaca A,335,"""Discourse on Livi"" B",235
D-STEM,355,Mountain Lakes,125
Hunter A,435,East Brunswick,175
Woodland,290,Darien A,280
Ithaca B,115,Biotech B,100
Ridgewood,195,Holmdel,145
Biotech A,230,"""Discourse on Livi"" A",155
Darien B,265,Hunter B,185
"""Discourse on Livi"" B",275,Mountain Lakes,165
Ithaca A,380,D-STEM,155
Darien A,320,East Brunswick,250
Hunter A,510,Woodland,180
