Winner,Score,Loser,Score
"
Champlain Valley A",340,Mt. Abraham,75
"
Burlington",330,Champlain Valley B,185
"
Essex A",290,Hanover,190
"
South Burlington",85,Essex B,80
Winner,Score,Loser,Score
"
Hanover",250,Mt. Abraham,50
"
Champlain Valley B",200,Essex B,100
"
Champlain Valley A",285,Essex A,200
"
Burlington",205,South Burlington,200
Winner,Score,Loser,Score
"
Hanover",265,Essex B,40
"
Champlain Valley A",295,Burlington,145
"
Mt. Abraham",160,South Burlington,110
"
Essex A",215,Champlain Valley B,175
Winner,Score,Loser,Score
"
Champlain Valley A",295,Essex B,50
"
Essex A",230,South Burlington,50
"
Hanover",290,Burlington,125
"
Champlain Valley B",175,Mt. Abraham,60
Winner,Score,Loser,Score
"
Champlain Valley A",290,South Burlington,50
"
Mt. Abraham",180,Essex B,60
"
Essex A",220,Burlington,145
"
Hanover",215,Champlain Valley B,140
Winner,Score,Loser,Score
"
Burlington",280,Essex B,40
"
Essex A",315,Mt. Abraham,95
"
Champlain Valley A",310,Hanover,155
"
Champlain Valley B",250,South Burlington,100
Winner,Score,Loser,Score
"
Champlain Valley A",300,Champlain Valley B,105
"
Hanover",240,South Burlington,65
"
Burlington",245,Mt. Abraham,75
"
Essex A",215,Essex B,105
Winner,Score,Loser,Score
"
Essex A",265,Hanover,100
"
Burlington",275,Champlain Valley A,185
"
Champlain Valley B",160,Essex B,70
"
Mt. Abraham",160,South Burlington,80
Winner,Score,Loser,Score
"
Essex A",220,Burlington,140
"
Mt. Abraham",125,Essex B,50
"
Champlain Valley A",235,Hanover,190
"
Champlain Valley B",140,South Burlington,95
Winner,Score,Loser,Score
"
Champlain Valley B",215,Mt. Abraham,80
"
Essex A",295,Champlain Valley A,185
"
Hanover",240,Burlington,130
"
South Burlington",120,Essex B,55
