\nHoover C,365,West Point B,95
\nAlabama Cyber Tech,375,Hoover B,165
\nArab Jr High A,165,Arab Jr. High B,115
\nSt. Bernard A,185,Hartselle,160
\nHoover A,390,Tuscaloosa Academy,130
\nSpain Park,450,Fairview,25
\nRussellville,230,Southside,205
\nAustin High School,210,University School B,205
\nRainbow Middle,80,St. Bernard B,75
\nAlabama Cyber Tech,515,University School A,100
\nWest Point A,355,Austin High School,135
\nHoover C,420,Rainbow Middle,100
\nHoover A,650,Southside,35
\nUniversity School B,250,Russellville,175
\nArab Jr High A,190,West Point B,75
\nSt. Bernard A,290,Fairview,25
\nArab Jr. High B,215,St. Bernard B,50
\nHoover B,475,Hartselle,45
\nSouthside,240,Austin High School,165
\nRainbow Middle,100,West Point B,95
\nArab Jr High A,190,St. Bernard B,90
\nAlabama Cyber Tech,510,St. Bernard A,45
\nSpain Park,410,Hoover B,55
\nTuscaloosa Academy,215,University School B 200,(OT)
\nHoover C,440,Arab Jr. High B,25
\nWest Point A,275,Russellville,220
\nUniversity School A,405,Hartselle,80
\nWest Point A,490,Southside,90
\nArab Jr High A,195,Rainbow Middle,95
\nHoover A,545,Russellville,110
\nWest Point B,130,Arab Jr. High B,120
\nUniversity School A,430,St. Bernard A,105
\nHoover C,460,St. Bernard B,25
\nHartselle,250,Fairview,80
\nSpain Park,305,Alabama Cyber Tech,280
\nTuscaloosa Academy,170,Austin High School,135
\nRainbow Middle,90,Arab Jr. High B 80,(OT)
\nWest Point B,215,St. Bernard B,10
\nHoover A,410,University School B,195
\nHoover B,275,Fairview,25
\nHoover C,330,Arab Jr High A,125
\nRussellville,215,Austin High School,160
\nWest Point A,410,Tuscaloosa Academy,100
\nUniversity School A,265,Spain Park,220
\nAlabama Cyber Tech,395,Hartselle,90
\nUniversity School B,265,Southside,120
\nHoover A,480,West Point A,175
\nUniversity School A,380,Fairview,55
\nSpain Park,335,Hartselle,150
\nTuscaloosa Academy,220,Russellville,160
\nSt. Bernard A,205,Hoover B,175
\nHoover A,545,Austin High School,55
\nWest Point A,450,University School B,105
\nSouthside,260,Tuscaloosa Academy,130
\nSpain Park,385,St. Bernard A,95
\nUniversity School A,395,Hoover B,170
\nAlabama Cyber Tech,490,Fairview,20
\nAlabama Cyber Tech,535,St. Bernard A,5
\nWest Point A,395,Tuscaloosa Academy,100
\nUniversity School A,395,Spain Park,165
\nHoover A,560,University School B,100
\nWest Point A,260,Alabama Cyber Tech,205
\nHoover A,530,University School A,95
\nAlabama Cyber Tech,355,University School A,200
\nHoover A,405,West Point A,225
