\nSt. Louis Patriots,570,Ladue C,10
\nCollege Heights Christian B,190,Parkway West C,165
\nClayton A,655,Ladue D,40
\nCollege Heights Christian A,435,Parkway West B,165
\nLadue A,355,Parkway Central,155
\nParkway West A,540,College Heights Christian B,70
\nGlasgow (KY),445,St. Louis Patriots,215
\nParkway West C,255,Clayton B,220
\nLadue A,525,Ladue B,110
\nParkway West B,310,Ladue D,110
\nSt. Louis Patriots,550,Clayton B,10
\nCollege Heights Christian B,215,Ladue C,95
\nGlasgow (KY),570,Parkway West C,20
\nLadue A,445,Parkway West B,170
\nLadue D,150,Ladue B,140
\nClayton A,550,Parkway Central,100
\nParkway West A,475,Ladue C,45
\nSt. Louis Patriots,495,Parkway West C,95
\nGlasgow (KY),590,Clayton B,85
\nLadue A,705,Ladue D,20
\nCollege Heights Christian A,550,Parkway Central,95
\nParkway West A,390,Glasgow (KY),355
\nSt. Louis Patriots,525,College Heights Christian B,55
\nCollege Heights Christian A,475,Ladue A,260
\nLadue D,180,Parkway Central,115
\nClayton A,670,Ladue B,10
\nClayton B,315,Ladue C,30
\nClayton A,405,Ladue A,290
\nCollege Heights Christian A,480,Ladue B,105
\nParkway West C,190,Ladue C,155
\nGlasgow (KY),570,College Heights Christian B,45
\nParkway West B,240,Parkway Central,165
\nGlasgow (KY),570,Ladue C,20
\nParkway West A,545,Parkway West C,125
\nCollege Heights Christian B,190,Clayton B,155
\nLadue B,240,Parkway Central,130
\nCollege Heights Christian A,465,Ladue D,150
\nClayton A,565,Parkway West B,45
\nLadue B,305,Ladue C,70
\nParkway West C,270,Parkway West B,205
\nCollege Heights Christian A,405,St. Louis Patriots,270
\nClayton A,385,Glasgow (KY),350
\nLadue A,360,Parkway West A,335
\nClayton B,320,Parkway Central,170
\nSt. Louis Patriots,465,Ladue A,205
\nCollege Heights Christian A,340,Glasgow (KY),305
\nParkway West C,295,Ladue D,65
\nParkway West B,350,College Heights Christian B,25
\nClayton B,245,Ladue B,185
\nClayton A,335,Parkway West A,255
\nParkway West A,350,College Heights Christian A,330
\nLadue A,470,Glasgow (KY),215
\nSt. Louis Patriots,385,Clayton A,285
\nCollege Heights Christian B,215,Parkway West C,210
\nClayton B,350,Ladue C,0
\nParkway West B,280,Ladue D,190
\nLadue B,245,Parkway Central,165
\nClayton A,380,Parkway West A,325
\nCollege Heights Christian A,510,Clayton A,155
